,Z
0,0
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,1
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,1
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,0
401,0
402,1
403,0
404,1
405,0
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,1
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
